0,1,2,3,4,5,6,7,8,9,10
pastry,chewing gum,,,,,,,,,
rolls/buns,hygiene articles,fruit/vegetable juice,,,,,,,,
root vegetables,pip fruit,other vegetables,canned beer,,,,,,,
rolls/buns,pastry,,,,,,,,,
fruit/vegetable juice,cream cheese ,,,,,,,,,
whole milk,margarine,soda,softener,,,,,,,
pastry,whole milk,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
chicken,yogurt,,,,,,,,,
soda,pastry,bottled water,,,,,,,,
yogurt,whole milk,,,,,,,,,
citrus fruit,ham,,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
semi-finished bread,tropical fruit,,,,,,,,,
domestic eggs,mayonnaise,coffee,,,,,,,,
tropical fruit,herbs,,,,,,,,,
brown bread,shopping bags,soda,,,,,,,,
root vegetables,newspapers,,,,,,,,,
misc. beverages,white bread,,,,,,,,,
house keeping products,whole milk,,,,,,,,,
chicken,napkins,soda,,,,,,,,
onions,rolls/buns,,,,,,,,,
ready soups,shopping bags,,,,,,,,,
condensed milk,pork,whole milk,pastry,,,,,,,
chicken,soda,,,,,,,,,
fruit/vegetable juice,herbs,,,,,,,,,
brown bread,yogurt,,,,,,,,,
bottled water,frankfurter,curd,butter milk,,,,,,,
rolls/buns,bottled water,whole milk,,,,,,,,
whole milk,other vegetables,yogurt,newspapers,bottled water,pet care,,,,,
chocolate,white bread,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
butter,citrus fruit,,,,,,,,,
root vegetables,napkins,,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
white bread,hygiene articles,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
berries,other vegetables,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
prosecco,chewing gum,,,,,,,,,
whole milk,hard cheese,candles,bottled beer,shopping bags,jam,,,,,
long life bakery product,chocolate,,,,,,,,,
ham,female sanitary products,,,,,,,,,
frankfurter,tropical fruit,mustard,,,,,,,,
butter milk,oil,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
other vegetables,candy,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
pip fruit,canned beer,pork,white bread,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
bottled water,yogurt,,,,,,,,,
whole milk,soda,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
citrus fruit,specialty cheese,,,,,,,,,
salty snack,brown bread,napkins,,,,,,,,
hygiene articles,pastry,,,,,,,,,
whole milk,waffles,waffles,,,,,,,,
butter,newspapers,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
beverages,sparkling wine,,,,,,,,,
chewing gum,ham,,,,,,,,,
butter milk,sliced cheese,rolls/buns,,,,,,,,
soda,frankfurter,butter,whole milk,,,,,,,
other vegetables,whipped/sour cream,salty snack,,,,,,,,
specialty chocolate,flour,,,,,,,,,
yogurt,specialty cheese,,,,,,,,,
newspapers,red/blush wine,,,,,,,,,
grapes,whole milk,,,,,,,,,
pork,pastry,,,,,,,,,
sausage,rolls/buns,rolls/buns,rolls/buns,,,,,,,
pork,condensed milk,,,,,,,,,
rolls/buns,yogurt,newspapers,,,,,,,,
pork,rolls/buns,other vegetables,,,,,,,,
pip fruit,salty snack,yogurt,,,,,,,,
tropical fruit,white wine,bottled beer,,,,,,,,
bottled water,berries,,,,,,,,,
curd,frozen meals,,,,,,,,,
coffee,detergent,rolls/buns,pasta,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
frozen vegetables,dishes,soda,domestic eggs,,,,,,,
hygiene articles,tea,,,,,,,,,
cat food,canned vegetables,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
beef,chicken,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
root vegetables,pastry,,,,,,,,,
newspapers,yogurt,semi-finished bread,,,,,,,,
bottled beer,canned beer,fruit/vegetable juice,,,,,,,,
beef,curd,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
hamburger meat,pastry,flour,,,,,,,,
whole milk,long life bakery product,margarine,,,,,,,,
chicken,herbs,frozen meals,,,,,,,,
citrus fruit,rolls/buns,canned fish,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
pip fruit,frozen vegetables,butter milk,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,butter,,,,,,,,,
cream cheese ,female sanitary products,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
whisky,shopping bags,rum,,,,,,,,
dish cleaner,rolls/buns,frozen potato products,frozen vegetables,,,,,,,
frozen dessert,beef,citrus fruit,root vegetables,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
pip fruit,white wine,chocolate,,,,,,,,
brown bread,frozen fish,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
sausage,whole milk,,,,,,,,,
ham,rolls/buns,,,,,,,,,
tropical fruit,dessert,white bread,bottled water,,,,,,,
hard cheese,bottled beer,whole milk,liquor (appetizer),,,,,,,
specialty cheese,sliced cheese,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
frozen meals,frozen meals,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,flour,,,,,,,,,
pork,coffee,margarine,,,,,,,,
newspapers,soda,female sanitary products,,,,,,,,
sausage,dish cleaner,,,,,,,,,
beef,butter,,,,,,,,,
specialty chocolate,frozen vegetables,,,,,,,,,
dishes,yogurt,,,,,,,,,
brown bread,frozen dessert,,,,,,,,,
chewing gum,other vegetables,specialty bar,,,,,,,,
frankfurter,bottled water,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
coffee,whole milk,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
misc. beverages,sliced cheese,domestic eggs,,,,,,,,
beef,specialty chocolate,,,,,,,,,
pip fruit,tidbits,,,,,,,,,
root vegetables,salty snack,whipped/sour cream,,,,,,,,
dessert,mustard,white bread,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
packaged fruit/vegetables,root vegetables,sliced cheese,pip fruit,,,,,,,
pip fruit,white wine,shopping bags,,,,,,,,
rolls/buns,sugar,fruit/vegetable juice,,,,,,,,
beef,bottled water,,,,,,,,,
yogurt,soft cheese,herbs,rolls/buns,,,,,,,
pork,yogurt,,,,,,,,,
rolls/buns,onions,butter,whole milk,rolls/buns,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
rolls/buns,misc. beverages,soda,,,,,,,,
pork,sugar,,,,,,,,,
whole milk,frankfurter,whole milk,curd,canned vegetables,,,,,,
curd cheese,canned beer,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
other vegetables,soda,,,,,,,,,
pip fruit,flower (seeds),,,,,,,,,
sausage,long life bakery product,,,,,,,,,
beef,onions,,,,,,,,,
turkey,bottled water,,,,,,,,,
herbs,curd,,,,,,,,,
chicken,rolls/buns,pip fruit,pastry,frozen meals,,,,,,
citrus fruit,female sanitary products,,,,,,,,,
soda,sausage,root vegetables,pork,whole milk,vinegar,other vegetables,domestic eggs,shopping bags,,
ice cream,citrus fruit,soda,,,,,,,,
chicken,pork,newspapers,,,,,,,,
fish,pickled vegetables,hard cheese,,,,,,,,
sausage,white bread,,,,,,,,,
pip fruit,brandy,,,,,,,,,
whole milk,yogurt,,,,,,,,,
citrus fruit,grapes,,,,,,,,,
chicken,ice cream,bottled water,,,,,,,,
detergent,tropical fruit,soda,margarine,,,,,,,
zwieback,shopping bags,kitchen towels,,,,,,,,
sausage,beverages,,,,,,,,,
root vegetables,soda,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
citrus fruit,whole milk,fruit/vegetable juice,dishes,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
citrus fruit,onions,,,,,,,,,
yogurt,seasonal products,,,,,,,,,
liver loaf,specialty chocolate,,,,,,,,,
tropical fruit,pip fruit,prosecco,,,,,,,,
ham,onions,,,,,,,,,
bottled water,whole milk,,,,,,,,,
pork,frozen dessert,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
rolls/buns,brown bread,whipped/sour cream,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
other vegetables,frozen vegetables,rolls/buns,,,,,,,,
whole milk,rolls/buns,salty snack,,,,,,,,
pet care,dog food,,,,,,,,,
fruit/vegetable juice,beverages,,,,,,,,,
specialty bar,soda,,,,,,,,,
butter,soda,,,,,,,,,
pip fruit,popcorn,rolls/buns,bottled water,,,,,,,
other vegetables,newspapers,,,,,,,,,
liquor,fruit/vegetable juice,,,,,,,,,
citrus fruit,dessert,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
yogurt,berries,,,,,,,,,
canned beer,seasonal products,,,,,,,,,
pip fruit,pip fruit,whipped/sour cream,shopping bags,domestic eggs,soda,cake bar,frozen meals,,,
root vegetables,turkey,bottled water,,,,,,,,
whole milk,pip fruit,,,,,,,,,
white wine,curd,,,,,,,,,
canned beer,white bread,,,,,,,,,
whole milk,whole milk,coffee,oil,,,,,,,
soda,bottled water,,,,,,,,,
whole milk,waffles,,,,,,,,,
beverages,pickled vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pork,root vegetables,,,,,,,,,
brown bread,canned beer,,,,,,,,,
whole milk,whole milk,candles,,,,,,,,
sausage,curd,,,,,,,,,
domestic eggs,UHT-milk,,,,,,,,,
specialty bar,other vegetables,misc. beverages,,,,,,,,
chicken,house keeping products,,,,,,,,,
coffee,pastry,,,,,,,,,
finished products,root vegetables,,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
beef,pastry,whole milk,,,,,,,,
frankfurter,soda,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
newspapers,whipped/sour cream,bottled water,curd cheese,,,,,,,
citrus fruit,yogurt,,,,,,,,,
sausage,sausage,frozen vegetables,pastry,,,,,,,
sugar,curd,,,,,,,,,
other vegetables,sugar,oil,,,,,,,,
dessert,fruit/vegetable juice,napkins,,,,,,,,
canned beer,ready soups,,,,,,,,,
chewing gum,cake bar,,,,,,,,,
whole milk,soda,other vegetables,,,,,,,,
citrus fruit,chicken,,,,,,,,,
cream cheese ,canned beer,waffles,,,,,,,,
UHT-milk,other vegetables,cream cheese ,rolls/buns,,,,,,,
spread cheese,specialty chocolate,sugar,,,,,,,,
onions,pastry,,,,,,,,,
tropical fruit,dessert,rolls/buns,long life bakery product,,,,,,,
rolls/buns,butter,,,,,,,,,
meat,rolls/buns,,,,,,,,,
whole milk,coffee,,,,,,,,,
cream cheese ,yogurt,,,,,,,,,
domestic eggs,root vegetables,,,,,,,,,
newspapers,whole milk,chewing gum,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
tropical fruit,mustard,,,,,,,,,
sausage,butter,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
misc. beverages,rolls/buns,frozen vegetables,beverages,condensed milk,,,,,,
root vegetables,kitchen towels,,,,,,,,,
dish cleaner,soda,,,,,,,,,
yogurt,yogurt,,,,,,,,,
other vegetables,citrus fruit,pork,shopping bags,,,,,,,
other vegetables,yogurt,brown bread,,,,,,,,
liquor (appetizer),hygiene articles,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
canned vegetables,chicken,rolls/buns,,,,,,,,
onions,margarine,sweet spreads,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
canned beer,photo/film,,,,,,,,,
other vegetables,waffles,,,,,,,,,
pastry,whipped/sour cream,decalcifier,,,,,,,,
pork,yogurt,margarine,,,,,,,,
yogurt,pip fruit,yogurt,,,,,,,,
whole milk,bottled beer,,,,,,,,,
whole milk,newspapers,frozen vegetables,,,,,,,,
misc. beverages,bottled water,mustard,,,,,,,,
pork,waffles,tropical fruit,pork,canned beer,whipped/sour cream,newspapers,cream cheese ,,,
rolls/buns,sauces,,,,,,,,,
white bread,cream cheese ,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
baking powder,soda,,,,,,,,,
yogurt,soda,,,,,,,,,
root vegetables,grapes,soda,,,,,,,,
coffee,bottled water,chocolate,,,,,,,,
canned beer,brandy,waffles,cat food,dishes,light bulbs,,,,,
bottled beer,brown bread,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
oil,onions,,,,,,,,,
cat food,whole milk,turkey,spread cheese,canned beer,berries,long life bakery product,,,,
meat,citrus fruit,chocolate,pastry,rolls/buns,,,,,,
white bread,coffee,,,,,,,,,
sausage,root vegetables,,,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
chicken,brown bread,,,,,,,,,
oil,herbs,,,,,,,,,
newspapers,specialty chocolate,,,,,,,,,
yogurt,yogurt,,,,,,,,,
chicken,whole milk,,,,,,,,,
bottled beer,citrus fruit,shopping bags,,,,,,,,
soda,soda,,,,,,,,,
frankfurter,whole milk,hamburger meat,white bread,,,,,,,
frankfurter,yogurt,,,,,,,,,
spread cheese,butter,hygiene articles,,,,,,,,
cream cheese ,rice,,,,,,,,,
mustard,zwieback,,,,,,,,,
whipped/sour cream,rolls/buns,soda,,,,,,,,
spread cheese,specialty chocolate,,,,,,,,,
margarine,bottled water,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
chicken,whole milk,curd,frozen meals,beverages,,,,,,
ham,white wine,shopping bags,,,,,,,,
butter,specialty chocolate,frozen meals,,,,,,,,
whole milk,chocolate,,,,,,,,,
brown bread,pip fruit,,,,,,,,,
meat,fruit/vegetable juice,long life bakery product,bottled water,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
chicken,rolls/buns,other vegetables,margarine,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
hamburger meat,red/blush wine,salty snack,,,,,,,,
soda,curd,sliced cheese,,,,,,,,
brown bread,pet care,,,,,,,,,
whole milk,bottled water,,,,,,,,,
nuts/prunes,canned beer,other vegetables,shopping bags,,,,,,,
coffee,whole milk,,,,,,,,,
herbs,vinegar,shopping bags,,,,,,,,
root vegetables,onions,whole milk,butter,,,,,,,
bottled water,soda,,,,,,,,,
other vegetables,rolls/buns,whole milk,margarine,,,,,,,
tropical fruit,whole milk,,,,,,,,,
butter,dessert,,,,,,,,,
canned beer,newspapers,,,,,,,,,
whole milk,soda,soda,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
chewing gum,pastry,pastry,,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
citrus fruit,newspapers,shopping bags,,,,,,,,
yogurt,sliced cheese,whipped/sour cream,,,,,,,,
tropical fruit,margarine,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
chicken,salty snack,coffee,,,,,,,,
whole milk,canned beer,,,,,,,,,
hamburger meat,rolls/buns,pip fruit,berries,,,,,,,
curd,chicken,,,,,,,,,
dessert,newspapers,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pastry,detergent,,,,,,,,,
other vegetables,pip fruit,dessert,red/blush wine,,,,,,,
other vegetables,pip fruit,napkins,,,,,,,,
brown bread,whole milk,canned fish,brown bread,,,,,,,
citrus fruit,beef,,,,,,,,,
rolls/buns,rum,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
soda,bottled water,ice cream,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
newspapers,pastry,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
frankfurter,rolls/buns,newspapers,waffles,,,,,,,
meat,whole milk,ready soups,,,,,,,,
beef,pet care,,,,,,,,,
sugar,napkins,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
sausage,semi-finished bread,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
sausage,salt,,,,,,,,,
whole milk,whole milk,,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
chicken,waffles,,,,,,,,,
citrus fruit,canned beer,flour,,,,,,,,
pork,long life bakery product,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
zwieback,butter,,,,,,,,,
mustard,rolls/buns,white bread,newspapers,,,,,,,
whole milk,coffee,salty snack,root vegetables,yogurt,oil,soft cheese,,,,
pip fruit,canned fish,organic sausage,pastry,,,,,,,
napkins,yogurt,,,,,,,,,
other vegetables,beverages,,,,,,,,,
chocolate,whipped/sour cream,baking powder,frozen vegetables,,,,,,,
beef,rum,brown bread,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
sausage,tropical fruit,pork,rolls/buns,,,,,,,
curd,rolls/buns,candy,,,,,,,,
soda,napkins,,,,,,,,,
butter,soda,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
butter,soda,,,,,,,,,
rolls/buns,pickled vegetables,chocolate,whole milk,,,,,,,
yogurt,flour,,,,,,,,,
sausage,detergent,,,,,,,,,
citrus fruit,whole milk,rolls/buns,liquor,tropical fruit,,,,,,
hamburger meat,condensed milk,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
pastry,hamburger meat,newspapers,other vegetables,root vegetables,instant coffee,yogurt,domestic eggs,,,
yogurt,rolls/buns,,,,,,,,,
dessert,pastry,,,,,,,,,
brown bread,soda,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
pastry,photo/film,,,,,,,,,
sausage,soda,,,,,,,,,
root vegetables,soda,dessert,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
specialty bar,soda,,,,,,,,,
domestic eggs,whole milk,napkins,,,,,,,,
canned beer,yogurt,,,,,,,,,
ham,curd cheese,,,,,,,,,
specialty chocolate,candles,,,,,,,,,
margarine,bottled beer,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
fruit/vegetable juice,packaged fruit/vegetables,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
sausage,napkins,curd,,,,,,,,
frankfurter,mustard,,,,,,,,,
napkins,photo/film,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
sausage,detergent,salty snack,,,,,,,,
root vegetables,whipped/sour cream,specialty bar,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
sliced cheese,dessert,cream cheese ,,,,,,,,
pip fruit,frozen meals,white bread,brown bread,fruit/vegetable juice,pastry,,,,,
canned beer,soda,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
root vegetables,margarine,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
frankfurter,margarine,frozen vegetables,,,,,,,,
roll products ,rolls/buns,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
canned beer,red/blush wine,,,,,,,,,
whipped/sour cream,yogurt,processed cheese,rolls/buns,,,,,,,
kitchen utensil,bottled water,rolls/buns,pasta,bottled water,,,,,,
bottled beer,butter,,,,,,,,,
soda,root vegetables,,,,,,,,,
pip fruit,roll products ,beverages,whole milk,canned fish,sugar,,,,,
berries,root vegetables,,,,,,,,,
ham,onions,baking powder,,,,,,,,
frankfurter,specialty cheese,soft cheese,,,,,,,,
beef,shopping bags,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
root vegetables,dog food,,,,,,,,,
whole milk,baking powder,newspapers,,,,,,,,
onions,pastry,soda,,,,,,,,
whole milk,candy,,,,,,,,,
yogurt,newspapers,,,,,,,,,
whipped/sour cream,herbs,flour,oil,,,,,,,
sausage,pip fruit,,,,,,,,,
pip fruit,butter,,,,,,,,,
newspapers,cake bar,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
pip fruit,butter milk,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
berries,canned fish,,,,,,,,,
other vegetables,whole milk,sliced cheese,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
hygiene articles,pastry,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,other vegetables,other vegetables,butter milk,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
pastry,bottled water,,,,,,,,,
canned beer,curd,coffee,flour,,,,,,,
citrus fruit,beverages,pip fruit,other vegetables,,,,,,,
whole milk,soda,,,,,,,,,
waffles,spread cheese,,,,,,,,,
whole milk,soda,,,,,,,,,
UHT-milk,skin care,,,,,,,,,
pork,other vegetables,,,,,,,,,
ice cream,onions,soda,,,,,,,,
yogurt,whole milk,,,,,,,,,
pork,salty snack,,,,,,,,,
frankfurter,finished products,canned beer,hamburger meat,packaged fruit/vegetables,whipped/sour cream,curd,sweet spreads,white bread,,
root vegetables,other vegetables,,,,,,,,,
rolls/buns,margarine,whipped/sour cream,,,,,,,,
salt,whole milk,pickled vegetables,,,,,,,,
chocolate,other vegetables,chocolate,pip fruit,bottled water,yogurt,pasta,shopping bags,,,
pet care,newspapers,dog food,,,,,,,,
bottled water,flour,,,,,,,,,
bottled beer,ham,other vegetables,pork,whole milk,oil,brown bread,,,,
cream cheese ,margarine,dish cleaner,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
newspapers,sausage,sugar,,,,,,,,
whole milk,dish cleaner,frozen fish,newspapers,,,,,,,
shopping bags,shopping bags,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
pudding powder,mustard,,,,,,,,,
bottled beer,seasonal products,,,,,,,,,
rolls/buns,napkins,cream cheese ,shopping bags,,,,,,,
dessert,bottled beer,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
coffee,hard cheese,domestic eggs,,,,,,,,
pork,semi-finished bread,,,,,,,,,
honey,salty snack,,,,,,,,,
UHT-milk,coffee,,,,,,,,,
yogurt,ketchup,butter,,,,,,,,
whole milk,other vegetables,,,,,,,,,
canned beer,soda,,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
meat,pasta,baking powder,,,,,,,,
margarine,beef,whipped/sour cream,,,,,,,,
dessert,canned beer,specialty chocolate,,,,,,,,
pork,canned beer,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
sparkling wine,soda,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
meat,rolls/buns,,,,,,,,,
pastry,other vegetables,,,,,,,,,
flower soil/fertilizer,butter milk,,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
sausage,root vegetables,,,,,,,,,
butter milk,long life bakery product,,,,,,,,,
chicken,finished products,rolls/buns,butter,rolls/buns,herbs,white bread,,,,
dessert,other vegetables,long life bakery product,,,,,,,,
beverages,pickled vegetables,,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
rolls/buns,whole milk,onions,,,,,,,,
butter,mayonnaise,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
specialty bar,pickled vegetables,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
semi-finished bread,shopping bags,,,,,,,,,
soda,cream cheese ,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
frankfurter,sausage,,,,,,,,,
sugar,red/blush wine,,,,,,,,,
rolls/buns,make up remover,,,,,,,,,
yogurt,canned beer,,,,,,,,,
misc. beverages,brown bread,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
bottled water,canned vegetables,,,,,,,,,
whole milk,pip fruit,detergent,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
butter,newspapers,,,,,,,,,
newspapers,syrup,,,,,,,,,
other vegetables,cereals,cleaner,,,,,,,,
yogurt,white bread,salty snack,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
margarine,butter,,,,,,,,,
whole milk,grapes,pastry,yogurt,,,,,,,
canned beer,margarine,,,,,,,,,
ice cream,UHT-milk,,,,,,,,,
fish,yogurt,,,,,,,,,
bottled water,canned beer,,,,,,,,,
margarine,sugar,,,,,,,,,
yogurt,pip fruit,misc. beverages,,,,,,,,
beef,tropical fruit,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
finished products,butter milk,fruit/vegetable juice,brown bread,pot plants,,,,,,
whole milk,pastry,fruit/vegetable juice,,,,,,,,
sausage,curd,brown bread,,,,,,,,
tropical fruit,photo/film,,,,,,,,,
bottled water,bottled water,,,,,,,,,
beef,whole milk,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
whole milk,beef,rolls/buns,curd,white bread,,,,,,
sugar,whole milk,,,,,,,,,
dessert,sausage,whole milk,oil,,,,,,,
sausage,yogurt,,,,,,,,,
canned fish,canned fish,,,,,,,,,
pip fruit,curd,specialty bar,beverages,sausage,soft cheese,rolls/buns,yogurt,other vegetables,curd,newspapers
tropical fruit,shopping bags,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
specialty chocolate,butter milk,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
frozen vegetables,onions,,,,,,,,,
coffee,napkins,,,,,,,,,
soda,yogurt,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pork,rolls/buns,,,,,,,,,
misc. beverages,yogurt,misc. beverages,,,,,,,,
rolls/buns,candy,white bread,,,,,,,,
bottled water,specialty chocolate,,,,,,,,,
tropical fruit,butter,hamburger meat,rolls/buns,soda,shopping bags,,,,,
other vegetables,pip fruit,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
ham,rolls/buns,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
bottled water,curd,semi-finished bread,,,,,,,,
other vegetables,organic sausage,cling film/bags,,,,,,,,
curd,other vegetables,,,,,,,,,
turkey,grapes,soda,,,,,,,,
sausage,fruit/vegetable juice,whole milk,curd,,,,,,,
butter,canned beer,brown bread,canned beer,,,,,,,
ham,berries,,,,,,,,,
sausage,bottled water,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
pork,liquor,long life bakery product,,,,,,,,
whipped/sour cream,frozen meals,,,,,,,,,
frozen meals,finished products,chocolate,other vegetables,whole milk,packaged fruit/vegetables,napkins,salty snack,,,
canned beer,other vegetables,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
brown bread,brown bread,,,,,,,,,
sausage,canned beer,,,,,,,,,
UHT-milk,citrus fruit,frozen vegetables,,,,,,,,
sausage,pork,,,,,,,,,
dessert,berries,mayonnaise,,,,,,,,
hamburger meat,candles,,,,,,,,,
whole milk,newspapers,,,,,,,,,
pip fruit,male cosmetics,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
beef,frozen dessert,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
pork,other vegetables,,,,,,,,,
tropical fruit,bottled beer,cake bar,yogurt,,,,,,,
pastry,bottled water,,,,,,,,,
pork,cream cheese ,,,,,,,,,
pork,bottled water,,,,,,,,,
frozen vegetables,chocolate marshmallow,,,,,,,,,
tropical fruit,newspapers,beef,tropical fruit,domestic eggs,detergent,frozen vegetables,grapes,processed cheese,,
beef,hard cheese,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
frozen vegetables,frozen vegetables,,,,,,,,,
beef,chicken,newspapers,organic products,chocolate,,,,,,
misc. beverages,berries,,,,,,,,,
