Member_number,Date,itemDescription,year,month,day,day_of_week
3830,2015-10-07,soda,2015,10,7,2
3686,2015-01-04,soda,2015,1,4,6
2774,2015-10-28,yogurt,2015,10,28,2
2204,2015-07-16,pork,2015,7,16,3
4833,2015-10-03,onions,2015,10,3,5
1477,2015-08-02,liquor,2015,8,2,6
4697,2015-11-09,onions,2015,11,9,0
2435,2015-09-29,beef,2015,9,29,1
2164,2015-03-19,rolls/buns,2015,3,19,3
3557,2015-02-02,frankfurter,2015,2,2,0
4319,2015-08-11,sausage,2015,8,11,1
3615,2015-08-13,whole milk,2015,8,13,3
1902,2015-10-21,pork,2015,10,21,2
4390,2015-01-20,whole milk,2015,1,20,1
1985,2015-11-26,bottled water,2015,11,26,3
1265,2015-09-29,shopping bags,2015,9,29,1
2023,2015-08-31,citrus fruit,2015,8,31,0
4288,2015-09-25,meat,2015,9,25,4
2261,2015-06-29,sausage,2015,6,29,0
3073,2015-01-17,berries,2015,1,17,5
2406,2015-04-09,canned beer,2015,4,9,3
3983,2015-07-20,chicken,2015,7,20,0
1737,2015-01-23,whole milk,2015,1,23,4
1304,2015-04-30,rolls/buns,2015,4,30,3
4227,2015-08-20,hamburger meat,2015,8,20,3
3987,2015-06-17,citrus fruit,2015,6,17,2
4127,2015-12-11,bottled beer,2015,12,11,4
1734,2015-03-20,beef,2015,3,20,4
2770,2015-07-15,yogurt,2015,7,15,2
1454,2015-01-13,meat,2015,1,13,1
2256,2015-08-21,pastry,2015,8,21,4
2625,2015-11-18,other vegetables,2015,11,18,2
4335,2015-05-12,tidbits,2015,5,12,1
3738,2015-05-24,potato products,2015,5,24,6
2394,2015-08-19,waffles,2015,8,19,2
1927,2015-05-15,tropical fruit,2015,5,15,4
3681,2015-10-14,whole milk,2015,10,14,2
2435,2015-08-30,bottled beer,2015,8,30,6
1728,2015-08-15,soda,2015,8,15,5
4708,2015-04-14,meat,2015,4,14,1
1010,2015-07-31,pip fruit,2015,7,31,4
3735,2015-04-20,rolls/buns,2015,4,20,0
3331,2015-05-19,frankfurter,2015,5,19,1
2383,2015-05-10,soda,2015,5,10,6
1160,2015-11-20,pip fruit,2015,11,20,4
4890,2015-04-22,rolls/buns,2015,4,22,2
3513,2015-05-29,onions,2015,5,29,4
2525,2015-01-14,whole milk,2015,1,14,2
3708,2015-03-09,pastry,2015,3,9,0
4746,2015-06-06,ham,2015,6,6,5
4784,2015-11-09,root vegetables,2015,11,9,0
2051,2015-02-01,photo/film,2015,2,1,6
4745,2015-12-04,bottled beer,2015,12,4,4
4364,2015-01-17,dessert,2015,1,17,5
1493,2015-02-23,beverages,2015,2,23,0
1330,2015-05-18,chicken,2015,5,18,0
1777,2015-10-07,whole milk,2015,10,7,2
2633,2015-10-07,hard cheese,2015,10,7,2
1917,2015-01-23,pork,2015,1,23,4
4891,2015-09-01,soda,2015,9,1,1
3828,2015-06-15,yogurt,2015,6,15,0
2282,2015-11-05,citrus fruit,2015,11,5,3
2743,2015-10-08,soda,2015,10,8,3
2704,2015-11-18,frankfurter,2015,11,18,2
4170,2015-11-07,ice cream,2015,11,7,5
3867,2015-07-09,brown bread,2015,7,9,3
2592,2015-04-23,sugar,2015,4,23,3
1894,2015-03-10,other vegetables,2015,3,10,1
2348,2015-08-09,newspapers,2015,8,9,6
3747,2015-02-24,nuts/prunes,2015,2,24,1
4220,2015-08-21,yogurt,2015,8,21,4
4504,2015-04-09,root vegetables,2015,4,9,3
3175,2015-11-23,chicken,2015,11,23,0
4240,2015-06-28,other vegetables,2015,6,28,6
4608,2015-11-25,fruit/vegetable juice,2015,11,25,2
3053,2015-03-12,hamburger meat,2015,3,12,3
4096,2015-06-29,hamburger meat,2015,6,29,0
2517,2015-01-28,sausage,2015,1,28,2
1899,2015-10-24,pastry,2015,10,24,5
2934,2015-11-05,root vegetables,2015,11,5,3
2508,2015-12-27,soda,2015,12,27,6
1527,2015-05-14,UHT-milk,2015,5,14,3
1431,2015-07-11,citrus fruit,2015,7,11,5
4148,2015-09-02,sausage,2015,9,2,2
3862,2015-05-03,condensed milk,2015,5,3,6
3402,2015-11-04,frozen meals,2015,11,4,2
3178,2015-08-12,dessert,2015,8,12,2
2134,2015-09-26,beef,2015,9,26,5
1038,2015-04-23,pip fruit,2015,4,23,3
4780,2015-09-19,soda,2015,9,19,5
1251,2015-11-26,canned beer,2015,11,26,3
4293,2015-09-30,mayonnaise,2015,9,30,2
3676,2015-10-24,sausage,2015,10,24,5
2992,2015-09-11,pip fruit,2015,9,11,4
4124,2015-05-22,whole milk,2015,5,22,4
4756,2015-09-18,tropical fruit,2015,9,18,4
1422,2015-04-10,pip fruit,2015,4,10,4
1229,2015-03-20,ham,2015,3,20,4
4733,2015-01-19,pip fruit,2015,1,19,0
2053,2015-09-17,cereals,2015,9,17,3
4230,2015-03-15,sausage,2015,3,15,6
3968,2015-12-11,dessert,2015,12,11,4
4935,2015-02-04,tropical fruit,2015,2,4,2
2290,2015-12-01,whole milk,2015,12,1,1
2143,2015-07-25,canned beer,2015,7,25,5
3657,2015-01-22,sausage,2015,1,22,3
4369,2015-08-25,beverages,2015,8,25,1
2639,2015-12-11,pip fruit,2015,12,11,4
2706,2015-08-14,sausage,2015,8,14,4
2133,2015-05-08,soda,2015,5,8,4
3635,2015-07-23,beef,2015,7,23,3
2734,2015-03-30,whipped/sour cream,2015,3,30,0
1080,2015-05-14,root vegetables,2015,5,14,3
4413,2015-11-10,hamburger meat,2015,11,10,1
1729,2015-08-28,meat,2015,8,28,4
2167,2015-10-18,tropical fruit,2015,10,18,6
1391,2015-03-19,sausage,2015,3,19,3
3347,2015-05-06,sausage,2015,5,6,2
4091,2015-12-28,yogurt,2015,12,28,0
4589,2015-10-07,white bread,2015,10,7,2
3590,2015-02-27,sausage,2015,2,27,4
4147,2015-02-01,white wine,2015,2,1,6
4187,2015-09-14,pip fruit,2015,9,14,0
2613,2015-11-04,soda,2015,11,4,2
4197,2015-03-11,soda,2015,3,11,2
4553,2015-06-13,curd,2015,6,13,5
3045,2015-03-26,tropical fruit,2015,3,26,3
2079,2015-07-19,curd,2015,7,19,6
1108,2015-07-30,brown bread,2015,7,30,3
4306,2015-04-26,domestic eggs,2015,4,26,6
2761,2015-02-03,chocolate,2015,2,3,1
3931,2015-08-03,soda,2015,8,3,0
4351,2015-08-05,cooking chocolate,2015,8,5,2
2788,2015-03-09,butter,2015,3,9,0
3962,2015-05-28,pork,2015,5,28,3
3690,2015-05-21,sausage,2015,5,21,3
4937,2015-06-28,shopping bags,2015,6,28,6
2544,2015-01-20,tropical fruit,2015,1,20,1
2439,2015-10-31,bottled water,2015,10,31,5
2952,2015-11-08,citrus fruit,2015,11,8,6
1472,2015-09-19,root vegetables,2015,9,19,5
3781,2015-04-21,root vegetables,2015,4,21,1
1079,2015-09-09,rolls/buns,2015,9,9,2
4636,2015-05-01,yogurt,2015,5,1,4
4644,2015-08-25,dog food,2015,8,25,1
2226,2015-02-17,other vegetables,2015,2,17,1
4477,2015-02-15,hamburger meat,2015,2,15,6
3132,2015-08-29,berries,2015,8,29,5
4295,2015-03-24,sausage,2015,3,24,1
2918,2015-11-12,bottled water,2015,11,12,3
3167,2015-03-02,chocolate,2015,3,2,0
1993,2015-05-22,root vegetables,2015,5,22,4
4643,2015-08-08,tidbits,2015,8,8,5
3999,2015-06-02,whole milk,2015,6,2,1
2625,2015-03-22,citrus fruit,2015,3,22,6
2398,2015-08-01,tropical fruit,2015,8,1,5
2945,2015-07-19,chicken,2015,7,19,6
3523,2015-04-26,newspapers,2015,4,26,6
1726,2015-12-26,other vegetables,2015,12,26,5
4540,2015-02-24,butter,2015,2,24,1
4479,2015-10-02,semi-finished bread,2015,10,2,4
1472,2015-11-02,bottled beer,2015,11,2,0
1149,2015-12-12,seasonal products,2015,12,12,5
2504,2015-02-08,pork,2015,2,8,6
4835,2015-09-12,whole milk,2015,9,12,5
1832,2015-11-17,sausage,2015,11,17,1
1403,2015-03-25,salty snack,2015,3,25,2
4856,2015-01-18,root vegetables,2015,1,18,6
3369,2015-02-22,frankfurter,2015,2,22,6
4364,2015-12-24,other vegetables,2015,12,24,3
4686,2015-12-11,chocolate,2015,12,11,4
2876,2015-03-22,sausage,2015,3,22,6
1449,2015-01-26,finished products,2015,1,26,0
3499,2015-04-05,whole milk,2015,4,5,6
3462,2015-05-16,shopping bags,2015,5,16,5
1512,2015-02-23,whole milk,2015,2,23,0
1551,2015-01-14,soda,2015,1,14,2
3993,2015-02-18,rolls/buns,2015,2,18,2
3494,2015-03-25,seasonal products,2015,3,25,2
1819,2015-06-25,pip fruit,2015,6,25,3
3581,2015-06-09,UHT-milk,2015,6,9,1
3763,2015-04-29,canned beer,2015,4,29,2
2807,2015-03-07,tropical fruit,2015,3,7,5
1133,2015-03-26,pork,2015,3,26,3
4923,2015-04-19,other vegetables,2015,4,19,6
3912,2015-06-01,berries,2015,6,1,0
4312,2015-10-19,bottled water,2015,10,19,0
3141,2015-08-13,waffles,2015,8,13,3
5000,2015-10-02,soda,2015,10,2,4
3327,2015-04-30,soda,2015,4,30,3
1058,2015-06-04,sausage,2015,6,4,3
4397,2015-03-04,pastry,2015,3,4,2
3694,2015-10-27,frozen meals,2015,10,27,1
3346,2015-11-05,tropical fruit,2015,11,5,3
1039,2015-05-31,salty snack,2015,5,31,6
1081,2015-01-21,tropical fruit,2015,1,21,2
3064,2015-02-01,pork,2015,2,1,6
4794,2015-10-27,ham,2015,10,27,1
4933,2015-02-01,sausage,2015,2,1,6
3312,2015-10-13,domestic eggs,2015,10,13,1
1303,2015-05-29,whole milk,2015,5,29,4
4756,2015-03-29,other vegetables,2015,3,29,6
3595,2015-06-08,bottled beer,2015,6,8,0
2747,2015-02-02,ham,2015,2,2,0
4113,2015-08-13,frankfurter,2015,8,13,3
2882,2015-04-26,sausage,2015,4,26,6
1980,2015-10-15,bottled water,2015,10,15,3
3534,2015-11-11,sausage,2015,11,11,2
4452,2015-11-23,pork,2015,11,23,0
1883,2015-05-26,frankfurter,2015,5,26,1
4160,2015-12-08,Instant food products,2015,12,8,1
3212,2015-04-18,ham,2015,4,18,5
2327,2015-08-12,bottled beer,2015,8,12,2
1874,2015-07-29,frozen vegetables,2015,7,29,2
4439,2015-01-01,butter,2015,1,1,3
4883,2015-10-01,berries,2015,10,1,3
1873,2015-02-22,frankfurter,2015,2,22,6
4228,2015-04-18,tropical fruit,2015,4,18,5
2868,2015-04-12,beef,2015,4,12,6
4102,2015-09-23,frankfurter,2015,9,23,2
1013,2015-02-10,white bread,2015,2,10,1
1928,2015-08-15,citrus fruit,2015,8,15,5
2064,2015-08-21,whole milk,2015,8,21,4
3416,2015-11-15,frozen meals,2015,11,15,6
1536,2015-05-01,frankfurter,2015,5,1,4
1953,2015-09-03,beef,2015,9,3,3
1327,2015-04-07,sausage,2015,4,7,1
3415,2015-05-27,pet care,2015,5,27,2
2517,2015-03-22,napkins,2015,3,22,6
4334,2015-12-10,frankfurter,2015,12,10,3
4515,2015-06-15,soda,2015,6,15,0
1527,2015-04-20,citrus fruit,2015,4,20,0
1726,2015-02-11,other vegetables,2015,2,11,2
4734,2015-10-02,sausage,2015,10,2,4
2356,2015-06-15,beef,2015,6,15,0
2244,2015-03-29,other vegetables,2015,3,29,6
4281,2015-03-04,rolls/buns,2015,3,4,2
2977,2015-04-14,other vegetables,2015,4,14,1
2119,2015-09-24,other vegetables,2015,9,24,3
3208,2015-06-24,root vegetables,2015,6,24,2
2663,2015-05-18,cat food,2015,5,18,0
3344,2015-01-04,whole milk,2015,1,4,6
3592,2015-12-14,oil,2015,12,14,0
2106,2015-11-24,frankfurter,2015,11,24,1
3356,2015-05-23,tropical fruit,2015,5,23,5
3227,2015-11-30,soda,2015,11,30,0
1505,2015-07-27,shopping bags,2015,7,27,0
1035,2015-04-24,whole milk,2015,4,24,4
4312,2015-12-14,sausage,2015,12,14,0
1253,2015-06-20,sausage,2015,6,20,5
2260,2015-10-30,sausage,2015,10,30,4
3710,2015-08-22,whole milk,2015,8,22,5
1846,2015-11-29,sausage,2015,11,29,6
3520,2015-09-11,detergent,2015,9,11,4
2816,2015-06-19,pastry,2015,6,19,4
1051,2015-10-11,fish,2015,10,11,6
1754,2015-08-07,canned beer,2015,8,7,4
3593,2015-08-31,canned beer,2015,8,31,0
1421,2015-07-08,bottled beer,2015,7,8,2
3104,2015-04-06,rolls/buns,2015,4,6,0
1283,2015-05-30,bottled water,2015,5,30,5
1130,2015-09-18,bottled water,2015,9,18,4
2816,2015-01-10,rolls/buns,2015,1,10,5
4594,2015-06-23,meat,2015,6,23,1
4192,2015-12-16,yogurt,2015,12,16,2
3208,2015-11-20,rolls/buns,2015,11,20,4
1949,2015-11-04,soda,2015,11,4,2
4268,2015-04-25,rolls/buns,2015,4,25,5
2672,2015-01-17,frozen meals,2015,1,17,5
2372,2015-03-09,other vegetables,2015,3,9,0
4482,2015-07-08,dishes,2015,7,8,2
1048,2015-06-10,rolls/buns,2015,6,10,2
4831,2015-02-19,rolls/buns,2015,2,19,3
3441,2015-12-04,other vegetables,2015,12,4,4
3380,2015-11-11,coffee,2015,11,11,2
1654,2015-09-11,frozen dessert,2015,9,11,4
2408,2015-06-21,ham,2015,6,21,6
4699,2015-01-08,frankfurter,2015,1,8,3
2670,2015-04-29,yogurt,2015,4,29,2
4292,2015-08-18,citrus fruit,2015,8,18,1
4303,2015-02-22,sausage,2015,2,22,6
2011,2015-03-22,frankfurter,2015,3,22,6
3657,2015-09-29,liver loaf,2015,9,29,1
1435,2015-01-14,pork,2015,1,14,2
4445,2015-05-20,frozen fish,2015,5,20,2
4030,2015-08-15,herbs,2015,8,15,5
1204,2015-11-04,grapes,2015,11,4,2
1235,2015-01-01,sausage,2015,1,1,3
3984,2015-03-02,frankfurter,2015,3,2,0
3637,2015-11-25,frankfurter,2015,11,25,2
1931,2015-02-07,chocolate,2015,2,7,5
4486,2015-10-23,frankfurter,2015,10,23,4
4529,2015-03-01,whole milk,2015,3,1,6
1827,2015-07-05,sausage,2015,7,5,6
3054,2015-05-27,tropical fruit,2015,5,27,2
2524,2015-10-21,herbs,2015,10,21,2
1855,2015-09-11,ham,2015,9,11,4
3242,2015-02-23,frankfurter,2015,2,23,0
4431,2015-08-21,chicken,2015,8,21,4
4555,2015-07-23,tropical fruit,2015,7,23,3
4299,2015-08-02,citrus fruit,2015,8,2,6
2905,2015-10-22,tropical fruit,2015,10,22,3
3323,2015-09-12,beef,2015,9,12,5
2796,2015-10-17,other vegetables,2015,10,17,5
2129,2015-04-03,bottled beer,2015,4,3,4
1501,2015-08-17,bottled water,2015,8,17,0
2814,2015-07-17,newspapers,2015,7,17,4
1105,2015-05-22,bottled water,2015,5,22,4
3798,2015-04-09,curd,2015,4,9,3
3025,2015-04-21,citrus fruit,2015,4,21,1
4592,2015-07-13,citrus fruit,2015,7,13,0
4463,2015-03-11,pork,2015,3,11,2
2916,2015-06-13,house keeping products,2015,6,13,5
1838,2015-03-25,tropical fruit,2015,3,25,2
1126,2015-05-17,newspapers,2015,5,17,6
2800,2015-02-10,pip fruit,2015,2,10,1
4485,2015-07-25,root vegetables,2015,7,25,5
3262,2015-08-07,whole milk,2015,8,7,4
4030,2015-12-22,pip fruit,2015,12,22,1
3370,2015-03-02,soda,2015,3,2,0
3489,2015-01-09,misc. beverages,2015,1,9,4
2386,2015-03-01,beverages,2015,3,1,6
3774,2015-02-16,ice cream,2015,2,16,0
3818,2015-05-13,other vegetables,2015,5,13,2
3434,2015-10-06,chicken,2015,10,6,1
3438,2015-12-27,grapes,2015,12,27,6
1140,2015-01-05,photo/film,2015,1,5,0
1051,2015-12-10,tropical fruit,2015,12,10,3
3071,2015-03-26,coffee,2015,3,26,3
3872,2015-03-28,specialty chocolate,2015,3,28,5
4215,2015-06-30,specialty bar,2015,6,30,1
3806,2015-03-15,yogurt,2015,3,15,6
1869,2015-05-16,root vegetables,2015,5,16,5
1668,2015-05-05,chicken,2015,5,5,1
1163,2015-12-14,whole milk,2015,12,14,0
4787,2015-05-17,sausage,2015,5,17,6
4811,2015-11-01,butter milk,2015,11,1,6
4364,2015-05-09,sausage,2015,5,9,5
4572,2015-02-08,UHT-milk,2015,2,8,6
3222,2015-05-08,shopping bags,2015,5,8,4
3404,2015-03-24,pasta,2015,3,24,1
2221,2015-12-18,soda,2015,12,18,4
3646,2015-01-31,pip fruit,2015,1,31,5
4102,2015-07-15,fish,2015,7,15,2
2718,2015-12-06,canned beer,2015,12,6,6
1403,2015-05-16,hamburger meat,2015,5,16,5
4548,2015-05-30,whole milk,2015,5,30,5
4340,2015-06-08,pork,2015,6,8,0
2856,2015-08-21,meat,2015,8,21,4
1041,2015-02-04,hamburger meat,2015,2,4,2
1564,2015-06-19,tropical fruit,2015,6,19,4
4552,2015-10-17,whole milk,2015,10,17,5
2516,2015-07-31,light bulbs,2015,7,31,4
4246,2015-06-13,yogurt,2015,6,13,5
1090,2015-10-21,ice cream,2015,10,21,2
2889,2015-01-20,citrus fruit,2015,1,20,1
2229,2015-01-31,pet care,2015,1,31,5
4558,2015-05-04,whipped/sour cream,2015,5,4,0
2018,2015-04-20,chicken,2015,4,20,0
4898,2015-07-26,sausage,2015,7,26,6
4998,2015-10-14,rolls/buns,2015,10,14,2
2165,2015-01-28,soda,2015,1,28,2
3075,2015-10-15,other vegetables,2015,10,15,3
3973,2015-01-28,root vegetables,2015,1,28,2
3775,2015-10-27,root vegetables,2015,10,27,1
3135,2015-07-26,yogurt,2015,7,26,6
2738,2015-07-25,other vegetables,2015,7,25,5
4455,2015-10-24,yogurt,2015,10,24,5
2780,2015-03-09,liver loaf,2015,3,9,0
3593,2015-05-27,tropical fruit,2015,5,27,2
1876,2015-06-16,tropical fruit,2015,6,16,1
4694,2015-11-18,hamburger meat,2015,11,18,2
4273,2015-01-06,margarine,2015,1,6,1
4968,2015-11-13,bottled beer,2015,11,13,4
2449,2015-04-21,bottled beer,2015,4,21,1
1536,2015-02-05,whole milk,2015,2,5,3
2188,2015-11-28,rolls/buns,2015,11,28,5
4197,2015-05-13,butter,2015,5,13,2
2379,2015-11-08,hamburger meat,2015,11,8,6
4696,2015-08-18,chewing gum,2015,8,18,1
2680,2015-03-01,sausage,2015,3,1,6
4525,2015-11-05,liqueur,2015,11,5,3
1098,2015-12-11,grapes,2015,12,11,4
1222,2015-07-08,canned beer,2015,7,8,2
2316,2015-08-06,canned beer,2015,8,6,3
1950,2015-06-14,other vegetables,2015,6,14,6
3186,2015-03-08,ham,2015,3,8,6
2540,2015-05-03,sausage,2015,5,3,6
1789,2015-11-06,beef,2015,11,6,4
1574,2015-04-08,specialty chocolate,2015,4,8,2
2152,2015-07-23,butter,2015,7,23,3
1493,2015-01-10,semi-finished bread,2015,1,10,5
3044,2015-09-05,coffee,2015,9,5,5
2874,2015-09-09,pip fruit,2015,9,9,2
3556,2015-09-30,hamburger meat,2015,9,30,2
3255,2015-05-24,rolls/buns,2015,5,24,6
2521,2015-12-14,root vegetables,2015,12,14,0
3220,2015-10-14,pork,2015,10,14,2
1381,2015-06-03,other vegetables,2015,6,3,2
4050,2015-06-07,chicken,2015,6,7,6
1872,2015-01-29,misc. beverages,2015,1,29,3
4127,2015-11-04,canned beer,2015,11,4,2
2833,2015-08-14,citrus fruit,2015,8,14,4
2357,2015-09-23,waffles,2015,9,23,2
2654,2015-03-03,root vegetables,2015,3,3,1
4852,2015-04-28,yogurt,2015,4,28,1
2222,2015-07-21,berries,2015,7,21,1
2340,2015-12-07,sausage,2015,12,7,0
1987,2015-10-15,citrus fruit,2015,10,15,3
3570,2015-02-09,UHT-milk,2015,2,9,0
1320,2015-01-19,finished products,2015,1,19,0
2209,2015-07-20,cat food,2015,7,20,0
2500,2015-03-30,canned beer,2015,3,30,0
3315,2015-12-09,canned beer,2015,12,9,2
2548,2015-11-16,fruit/vegetable juice,2015,11,16,0
4473,2015-07-09,pork,2015,7,9,3
2271,2015-06-16,frankfurter,2015,6,16,1
4336,2015-10-10,sausage,2015,10,10,5
2763,2015-01-02,pork,2015,1,2,4
2780,2015-11-10,liquor,2015,11,10,1
2632,2015-01-16,frozen meals,2015,1,16,4
2568,2015-08-20,beef,2015,8,20,3
1729,2015-07-23,frankfurter,2015,7,23,3
3878,2015-07-28,frankfurter,2015,7,28,1
1225,2015-03-26,dessert,2015,3,26,3
1924,2015-11-17,root vegetables,2015,11,17,1
4335,2015-10-06,sausage,2015,10,6,1
3182,2015-12-03,butter,2015,12,3,3
4303,2015-08-23,other vegetables,2015,8,23,6
3042,2015-02-10,whole milk,2015,2,10,1
4493,2015-10-29,frankfurter,2015,10,29,3
4194,2015-07-02,bottled water,2015,7,2,3
3031,2015-12-18,pip fruit,2015,12,18,4
3891,2015-03-07,rolls/buns,2015,3,7,5
1062,2015-04-16,tropical fruit,2015,4,16,3
2469,2015-03-23,other vegetables,2015,3,23,0
3719,2015-03-09,meat,2015,3,9,0
3322,2015-11-02,bottled beer,2015,11,2,0
1336,2015-10-03,pet care,2015,10,3,5
1067,2015-07-20,rolls/buns,2015,7,20,0
1998,2015-05-15,root vegetables,2015,5,15,4
1076,2015-10-14,ham,2015,10,14,2
1992,2015-02-08,rolls/buns,2015,2,8,6
1261,2015-05-21,rolls/buns,2015,5,21,3
4409,2015-01-15,UHT-milk,2015,1,15,3
3031,2015-08-30,frankfurter,2015,8,30,6
2129,2015-03-18,whole milk,2015,3,18,2
1684,2015-03-01,whole milk,2015,3,1,6
4240,2015-09-18,citrus fruit,2015,9,18,4
2750,2015-09-14,other vegetables,2015,9,14,0
1379,2015-07-13,popcorn,2015,7,13,0
4243,2015-08-22,canned beer,2015,8,22,5
2469,2015-12-01,pork,2015,12,1,1
2346,2015-09-17,chicken,2015,9,17,3
2366,2015-08-18,UHT-milk,2015,8,18,1
2374,2015-06-23,brandy,2015,6,23,1
1721,2015-10-15,other vegetables,2015,10,15,3
2877,2015-10-04,pip fruit,2015,10,4,6
3848,2015-11-10,bottled beer,2015,11,10,1
4344,2015-01-03,sausage,2015,1,3,5
3475,2015-10-06,bottled beer,2015,10,6,1
3650,2015-07-17,other vegetables,2015,7,17,4
2318,2015-01-16,other vegetables,2015,1,16,4
1776,2015-02-03,whole milk,2015,2,3,1
3120,2015-07-07,yogurt,2015,7,7,1
1194,2015-05-13,butter,2015,5,13,2
2089,2015-04-17,canned beer,2015,4,17,4
2095,2015-06-04,pip fruit,2015,6,4,3
1736,2015-08-29,rolls/buns,2015,8,29,5
3718,2015-12-07,canned beer,2015,12,7,0
4950,2015-04-22,rolls/buns,2015,4,22,2
2481,2015-11-24,rolls/buns,2015,11,24,1
1296,2015-06-11,pip fruit,2015,6,11,3
2824,2015-07-12,pork,2015,7,12,6
4852,2015-06-29,frankfurter,2015,6,29,0
1648,2015-02-27,sausage,2015,2,27,4
3307,2015-06-10,citrus fruit,2015,6,10,2
4259,2015-06-24,brown bread,2015,6,24,2
2587,2015-02-06,soda,2015,2,6,4
4303,2015-08-04,canned beer,2015,8,4,1
1325,2015-05-26,bottled water,2015,5,26,1
3351,2015-10-14,pork,2015,10,14,2
1623,2015-01-18,frozen meals,2015,1,18,6
3119,2015-02-20,chicken,2015,2,20,4
1211,2015-05-24,rolls/buns,2015,5,24,6
4146,2015-09-02,pork,2015,9,2,2
1753,2015-02-26,sausage,2015,2,26,3
4664,2015-05-26,rolls/buns,2015,5,26,1
3827,2015-03-11,soda,2015,3,11,2
1098,2015-09-27,root vegetables,2015,9,27,6
4338,2015-08-27,beverages,2015,8,27,3
3712,2015-12-20,sausage,2015,12,20,6
1505,2015-10-27,frankfurter,2015,10,27,1
4478,2015-02-08,UHT-milk,2015,2,8,6
4150,2015-08-23,whole milk,2015,8,23,6
1118,2015-12-25,whole milk,2015,12,25,4
2537,2015-07-05,sausage,2015,7,5,6
1996,2015-10-05,canned beer,2015,10,5,0
4267,2015-09-13,sausage,2015,9,13,6
4424,2015-10-16,beef,2015,10,16,4
1948,2015-06-05,baking powder,2015,6,5,4
3495,2015-01-02,canned beer,2015,1,2,4
2327,2015-03-18,frankfurter,2015,3,18,2
3356,2015-12-01,meat,2015,12,1,1
3926,2015-03-23,yogurt,2015,3,23,0
4105,2015-03-12,sausage,2015,3,12,3
1884,2015-05-08,root vegetables,2015,5,8,4
4799,2015-09-02,canned beer,2015,9,2,2
4915,2015-09-18,canned beer,2015,9,18,4
2643,2015-01-12,tropical fruit,2015,1,12,0
3927,2015-03-09,tropical fruit,2015,3,9,0
2410,2015-11-18,citrus fruit,2015,11,18,2
1855,2015-04-28,chicken,2015,4,28,1
1245,2015-02-03,dessert,2015,2,3,1
3138,2015-04-19,other vegetables,2015,4,19,6
1178,2015-04-19,other vegetables,2015,4,19,6
1870,2015-05-09,onions,2015,5,9,5
4660,2015-10-07,frozen vegetables,2015,10,7,2
3241,2015-09-08,chicken,2015,9,8,1
4661,2015-04-18,chicken,2015,4,18,5
2407,2015-10-03,onions,2015,10,3,5
2440,2015-06-19,meat,2015,6,19,4
4634,2015-05-15,ham,2015,5,15,4
4112,2015-02-14,citrus fruit,2015,2,14,5
2428,2015-08-21,yogurt,2015,8,21,4
3604,2015-03-14,frankfurter,2015,3,14,5
3671,2015-03-08,dishes,2015,3,8,6
2880,2015-06-19,pork,2015,6,19,4
3946,2015-06-19,butter milk,2015,6,19,4
4495,2015-06-20,coffee,2015,6,20,5
3355,2015-02-12,chicken,2015,2,12,3
3959,2015-05-27,pip fruit,2015,5,27,2
1583,2015-11-23,soda,2015,11,23,0
3998,2015-03-28,yogurt,2015,3,28,5
4509,2015-11-29,berries,2015,11,29,6
1008,2015-03-10,hamburger meat,2015,3,10,1
4894,2015-12-23,canned beer,2015,12,23,2
4252,2015-10-04,turkey,2015,10,4,6
3428,2015-03-16,beverages,2015,3,16,0
1988,2015-08-09,bottled beer,2015,8,9,6
4662,2015-10-19,pastry,2015,10,19,0
3165,2015-11-27,pip fruit,2015,11,27,4
1920,2015-02-16,whole milk,2015,2,16,0
4157,2015-04-01,hamburger meat,2015,4,1,2
1945,2015-04-30,chocolate,2015,4,30,3
4104,2015-07-27,other vegetables,2015,7,27,0
2865,2015-05-14,oil,2015,5,14,3
4788,2015-04-28,beef,2015,4,28,1
1903,2015-01-25,bottled water,2015,1,25,6
3578,2015-05-16,sausage,2015,5,16,5
2238,2015-06-12,sausage,2015,6,12,4
3671,2015-11-10,pork,2015,11,10,1
3088,2015-03-12,frankfurter,2015,3,12,3
1832,2015-04-17,whipped/sour cream,2015,4,17,4
4785,2015-09-13,canned beer,2015,9,13,6
1322,2015-10-19,pork,2015,10,19,0
4439,2015-03-18,whole milk,2015,3,18,2
1698,2015-06-26,other vegetables,2015,6,26,4
3558,2015-04-25,whole milk,2015,4,25,5
3026,2015-01-01,citrus fruit,2015,1,1,3
1127,2015-10-15,other vegetables,2015,10,15,3
4153,2015-05-02,other vegetables,2015,5,2,5
4258,2015-04-22,beef,2015,4,22,2
2582,2015-11-14,meat,2015,11,14,5
1466,2015-01-12,sausage,2015,1,12,0
4185,2015-01-16,pip fruit,2015,1,16,4
1889,2015-09-02,beef,2015,9,2,2
3396,2015-05-14,chicken,2015,5,14,3
3412,2015-01-26,canned beer,2015,1,26,0
3321,2015-07-13,sausage,2015,7,13,0
3484,2015-11-21,whole milk,2015,11,21,5
1937,2015-10-17,whole milk,2015,10,17,5
2101,2015-12-20,sausage,2015,12,20,6
4006,2015-12-18,coffee,2015,12,18,4
3732,2015-07-18,nuts/prunes,2015,7,18,5
1276,2015-04-28,sausage,2015,4,28,1
4916,2015-01-03,coffee,2015,1,3,5
2040,2015-06-04,chicken,2015,6,4,3
2255,2015-01-05,tropical fruit,2015,1,5,0
1239,2015-07-25,finished products,2015,7,25,5
